source	source.label	source.image	target	target.label	target.image	edge
1	Robert HO Tung __	"https://img.i-scmp.com/cdn-cgi/image/fit=contain,width=425,format=auto/sites/default/files/styles/768x768/public/d8/images/methode/2020/06/29/37adcb2a-b5ce-11ea-94a5-08ba74052128_image_hires_182630.jpeg"	2	HO Kom-tong ___		business partner (via xxx co)
1	Robert HO Tung __	"https://img.i-scmp.com/cdn-cgi/image/fit=contain,width=425,format=auto/sites/default/files/styles/768x768/public/d8/images/methode/2020/06/29/37adcb2a-b5ce-11ea-94a5-08ba74052128_image_hires_182630.jpeg"	3	Walter Bosman ___		employee of
1	Robert HO Tung __	"https://img.i-scmp.com/cdn-cgi/image/fit=contain,width=425,format=auto/sites/default/files/styles/768x768/public/d8/images/methode/2020/06/29/37adcb2a-b5ce-11ea-94a5-08ba74052128_image_hires_182630.jpeg"	4	HO Fook __		trading partner
1	Robert HO Tung __	"https://img.i-scmp.com/cdn-cgi/image/fit=contain,width=425,format=auto/sites/default/files/styles/768x768/public/d8/images/methode/2020/06/29/37adcb2a-b5ce-11ea-94a5-08ba74052128_image_hires_182630.jpeg"	5	Clara HO Tung (Cheung) ___		trading partner
1	Robert HO Tung __	"https://img.i-scmp.com/cdn-cgi/image/fit=contain,width=425,format=auto/sites/default/files/styles/768x768/public/d8/images/methode/2020/06/29/37adcb2a-b5ce-11ea-94a5-08ba74052128_image_hires_182630.jpeg"	6	Margaret HO Tung (Maclean) ___		business partner
1	Robert HO Tung __	"https://img.i-scmp.com/cdn-cgi/image/fit=contain,width=425,format=auto/sites/default/files/styles/768x768/public/d8/images/methode/2020/06/29/37adcb2a-b5ce-11ea-94a5-08ba74052128_image_hires_182630.jpeg"	45	HO Sai-wing ___		business partner
1	Robert HO Tung __	"https://img.i-scmp.com/cdn-cgi/image/fit=contain,width=425,format=auto/sites/default/files/styles/768x768/public/d8/images/methode/2020/06/29/37adcb2a-b5ce-11ea-94a5-08ba74052128_image_hires_182630.jpeg"	34	Victoria Jubilee LO (Ho) ____		business partner (via xxx co)
1	Robert HO Tung __	"https://img.i-scmp.com/cdn-cgi/image/fit=contain,width=425,format=auto/sites/default/files/styles/768x768/public/d8/images/methode/2020/06/29/37adcb2a-b5ce-11ea-94a5-08ba74052128_image_hires_182630.jpeg"	35	General HO Sai-lai ___		business partner
2	HO Kom-tong ___		3	Walter Bosman ___		business partner
2	HO Kom-tong ___		4	HO Fook __		trading partner
2	HO Kom-tong ___		29	HO Sai Wah ___		business partner (via xxx co)
3	Walter Bosman ___		4	HO Fook __		employee of
4	HO Fook __	https://upload.wikimedia.org/wikipedia/commons/8/8a/Ho_Fook.png	32	HO Sai Leung ___		business partner (via xxx co)
